"BasinID","Volume_2000","Volume_2020","Popu_2000","Popu_2020"
6357,164716410.23,165368841.80711,2277567.82595,2969095.75688
6412,2725836716.52,2868818605.48,2401579.27064,2786881.12647
6415,20548165917.7,19152485993.89,2389364.83451,2580404.02008
6418,10644820841.348,11054231841.9083,4831915.67289,5099025.69364
6421,4109833305.21,3758657152.797,3612673.69403,4178225.75189
6423,3404764905.548,3522697086.831,2009985.29111,2316937.38598
6422,5336047557.82,4617042074.423,1775300.15309,2146981.13735
6426,22139680793,19505345268.85,3992888.35906,4724039.92767
6440,68278306446.0127,61156208514.2582,4575433.83934,5559167.39384
6640,932347537213.403,919766199115.768,2656288.57917,3877934.64475
3128,38744724555.939,48600594838.5091,2067900.80711,2509642.79753
3227,23730904065330.7,23746324447242.2,3678291.57545,3278686.16696
3226,47427047718.13,57005469554.833,2735107.92249,2489935.11235
3228,208398084.9126,229172992.85347,1196941.92968,2155381.56409
3120,53250882029.398,75439901726.262,1235269.83815,1096712.08152
