"BasinID","Volume_2000","Volume_2020","Popu_2000","Popu_2020"
1210,100592993.72245,123697208.93926,121998.209412,127170.722336
1241,41934064.27,36560842.033,363455.205994,498972.688049
1242,937792793.02,852298981.7504,245194.744949,385876.811268
1246,129313218.73,125331960.044,390975.643967,477884.365273
1256,25771889.66,21723816.254,67805.5730427,108762.227809
1257,67051087.77,77600982.06,313383.389559,601090.428116
1259,180185963.9,189434442.539,358793.018994,522811.131
1277,17582242.29,14295471.5,221805.367119,311625.7159
1280,12248737.13,13281417.639,454008.539805,805543.809574
1316,3164258.689,10912688.77,459220.271579,581044.351418
1325,11142545051,11893906389.8,169951.39436,359350.905832
1332,110767901.8,112824203.286,842983.280579,550860.215344
1333,19141370254.64,19340824045.919,148579.251068,181116.950371
1334,4573369030.233,4858866413.6448,713169.719042,1748467.72661
1455,4622110331,4704056337.6,702395.073544,1123603.11044
1461,470205178.028,833172947.8491,294913.092674,501260.338905
1462,2446863964.1,2754708582,715302.590467,1268306.81578
1467,200019991.17,263302378.061,67093.4994736,120350.721832
1514,260797924.4,227083466.01,849609.607797,955671.807533
1727,18544801.933,13584008.7837,350659.990685,703779.532906
1811,601801385.1,636529752.98,392155.708843,797138.049797
1813,2023289940.16,1965198847.3,351268.369591,698021.283127
1817,1380137604.598,1443820142.326,419390.807414,1208276.14226
1621,411772788.37,463367769.3468,530268.265466,1041422.88524
1292,830327213.9,830234781.236,203339.195031,320068.508068
1294,244020062.9,240510447.453,85071.6000383,108110.008178
1545,3018787711.9,3014951623.388,391522.306233,565482.396616
1543,67423574.04,71890396.59,645486.377327,751878.447038
1586,302364143.12,332149486.623,90603.9381886,129325.827318
1155,0,1371972.386,244660.753904,925381.125189
8113,9578093133.91,9416723273.35,288353.050874,359673.383698
8124,2284045382.82,2506282703.6389,91952.8275791,125359.80862
8228,370578648322.73,353055385124.202,150028.835344,229774.572476
8229,45836779668.64,41377401772.1638,194302.357814,253917.468634
4223,153798475.6,154668359.5928,462428.806234,471831.634748
4225,578219585.3,656758675.5,852686.045038,784576.506219
4226,41325176540.7,50205906045.6,626349.332452,507775.421495
4228,14075347649.601,11566059919.6554,910361.231934,816572.700999
4557,6631152894.6,7148674507.9,865151.318052,1510822.88812
4559,7277715718,14111515878.67,208110.679588,332538.511505
4568,10508669932.5,12220406915.174,122432.654193,168268.542145
4569,212360782.3,218524020.425,308338.015652,423936.540865
4110,7962522243.4,8231834937.637,531592.387571,420949.977026
4823,965865482.9713,972994714.3013,823941.774426,1041855.94616
4822,18476360672.872,19289998205.4492,903452.82072,1321129.70891
4824,241500763.98,288304282.989,282997.809538,409129.966125
4825,141151551.9633,260690677.5523,557580.491448,727651.877058
4611,27235924372.858,-57470256577.39,392160.603364,512440.455972
4612,2034760232.6,2130392166.967,225571.025716,291592.374861
4614,11646508.75,13167363.966,270893.942023,343340.791609
4632,642045775.42,719240003.6739,618555.503681,629763.715547
4636,442845254424.654,459071747933.897,144087.983288,169194.900964
4638,535145069.8,555499595.87,145558.068268,236197.361229
4624,5184763477.97881,3312228714.52611,271188.703999,190360.411264
4220,3486562946.8,2414210940.32,473504.233846,510602.963822
4830,41719511476.03,52578858932.4756,309011.101066,668557.394139
4820,8821156552.6,10854899699.93,354647.595371,447490.398933
4625,861093113.1141,835707649.154,154249.395044,134479.656435
4630,73427771482.3,81001892540.719,464723.055755,720644.183201
4711,20107076946,20081482593.23,886382.037347,1210328.06628
4740,5525191.506,103163955.953,160834.206317,146761.201265
4720,4254136344.14545,3762408470.86045,122525.447442,97600.647171
4622,89463913.8752,107577292.2653,80591.4901484,83675.3971755
4756,808113139.045,372390315.9428,439426.429095,438265.579588
5140,93381281.1,96277787.776,869684.222175,1611060.66046
5212,207516726.9,226165269.15,816666.374699,1031921.6127
5320,70916774.3,65458333.033,919095.290544,1801120.56934
5330,66183317.56,71416296.058,535561.560164,1294069.79685
5311,170182887.9,184644843.85,595159.170367,902848.423122
5313,1059885796.384,1128678008.0325,290403.239151,696521.27554
5314,9369805592.42,9691798107.9007,262364.933479,670721.507909
5316,1513552287,1728197410.2,347414.833648,2042265.4918
5317,857917145.5,848886082.407,298953.899384,705347.178046
5318,3809361789.872,4250774100.397,713333.206625,1260764.59628
5360,1437310497.2,1526803377.52,549082.868887,864487.019501
5611,4882804566.39,4580941076.897,482502.094766,482798.586238
5613,622569206,661499401.75,414589.190383,414742.22618
5625,1472679934.53,1506893229.5172,148375.779877,148629.233838
5631,478530698.46,706196522.538,373512.658047,373691.955894
5634,1008425992.08,732117305.8149,150174.658094,150217.68875
5635,369711963.4,401253600.0965,66425.3748952,66467.375925
5636,112879136.65,147001584.957,94134.0775583,94160.9331549
5641,1254777708.472,1307536458.226,87100.0256095,87087.9611512
5646,670570994.248,564366599.4492,366121.666628,366126.275439
5649,176231603.9,101570646.58,177584.955046,177635.161214
5540,269963674,321037608.27,207747.156326,282169.301123
2277,181727768.4,261949275.62,732149.823944,724859.969162
2311,157813549.24,109713543.92,714890.19249,891444.897659
2313,17879427.03,17517317.877,346834.392151,438269.476463
2434,53747582592.93,56217022788.8262,447199.198168,461484.101064
2436,25268150589.35,28433007264.8574,164116.117139,177106.332573
2437,3301957293.57,3615123954.219,137379.548312,154848.829601
2438,10555062652.73,13142563266.2247,118659.518802,113859.533045
2443,41312118223.02,48728082150.1963,506876.770149,504339.559278
2445,24253029854.28,25964145909.9786,518890.73609,522851.484525
2446,9196919893.95,9912952237.7113,248018.929626,253366.794729
2448,142587539452.84,146314849305.789,869646.631564,903446.426705
2449,429571302.19,441296589.4627,189238.858513,205406.516148
2521,2466594901.13,2748392265.774,155688.570827,167934.821116
2523,415082693.87,442286594.069,88829.3571901,67146.042201
2524,11939133687.89,14046542310.364,241489.445076,181343.055369
2525,71504163119.1,76648974129.4689,574344.89059,430941.39455
2526,54162653285.15,58880171199.0556,73462.5226525,56105.8702545
2528,45049330825.43,49993929479.4739,83557.0610681,64220.1460994
2612,13295133915.463,14449591780.7453,167606.267869,136439.973447
2613,749293869.27,795082436.629,259797.975701,210061.693853
2615,355644547.06,382228972.332,237831.146964,192300.244443
2618,4359994059.983,5563607713.621,527629.000405,390925.079804
2710,5031299638.665,5718490314.0538,258795.197435,339060.573437
2813,633538053.7,1446022033.3,159881.745956,75548.1219139
2816,12774209.00245,26524191.61545,296715.971141,496774.744168
2819,36215781.76,37832518.26,206308.307704,490050.633812
2826,119809892.79281,161247477.49441,189716.73776,155419.57608
2842,1212995760.33,1186342859.877,297768.527692,290143.994621
2934,65873864.94,122699332.55,545829.161476,649553.785309
2948,15505971504,13857296624.2,671551.133252,1352596.62409
2917,100419572.463,398347390.943,687639.652138,1068144.18682
2940,76629579008.26,78652136575.219,845685.343281,1115740.64554
2916,4127850251,12089880065.23,283099.138248,135447.125805
7716,360772841.04,2408710120.14,282439.335605,355640.052423
7717,4924441606.9,5032927060.3,703063.19684,972796.906737
7718,775739084.26,3965894489.86,262785.496803,348252.881198
7721,34878371.93,97811140.91,309550.33483,465929.342587
7724,30849067.71,172069383.92,264424.308042,308573.403185
7726,298413750.5,1006052193,257081.475918,320115.879157
7728,495194190.62,1442055233.823,351204.218164,523098.046676
7729,2360060354.09,3913301890.924,164194.123079,231891.61004
7742,235129103.1,279965879.11,192581.453086,216346.337157
7747,1157441079,1141552101.73,84065.4449007,95181.5050487
7748,5775780166.31,6237592057.929,114457.249485,122894.495754
7810,1597795423.95,1630060320.2812,552701.758262,643060.687475
7821,785323315.25,421173416.1952,383401.736602,535644.158073
7823,658860864.6,683617365.95,479076.088937,622443.080365
7825,3444843034.8,3501342182.68,187176.525689,222114.197335
7824,703830602.9,700766713.032,159201.45514,269632.433268
7827,543006915.3,542835060.85,205435.913204,231940.991807
7118,545492026379.79,568793192781.886,81647.4713896,104695.735914
7125,6004981879.23,6723047717.871,254484.879801,368203.955744
7126,2197135966.82,2462296447.739,226838.613445,308627.101629
7127,138256951.31,142334667.986,76917.3414663,97023.0873461
7128,1340296849.79,1429602621.726,152517.237409,207757.489105
7138,25129779397.85,26284221857.7059,107563.155095,102603.419052
7240,125697077161.76,147806003671.242,792387.003074,910932.064328
7251,607077619.58,622716089.8134,548553.336953,671713.009306
7252,32017449788.62,36061960487.2871,130406.423261,131581.478821
7257,10492549425.96,11082290430.1,238109.615242,238881.112948
7256,3577669006035.84,3584738327481.33,868092.35204,1112892.67527
7259,12118329394805.1,12168655292646.8,705003.571696,692557.810874
7323,78436318.24,90854454.43,189687.783609,197965.616515
7329,193879219.87,162565673.686,757966.864723,846870.677389
7230,33897285975.57,36325798187.197,437258.673271,475319.124133
7610,13664491991.982,15907064741.592,278963.332829,392071.615429
7734,427597863.2846,1766176746.1446,196856.928278,243405.110135
7523,104376267.097,164489950.61762,362908.397259,542303.702289
7732,134799735.56,151432564.891,856896.413019,1106597.35095
7735,15468712427.85,15255623374.536,443295.204228,668181.448346
6153,195628037.9,286893049.76,783951.491548,1123965.90459
6152,40728518941,71430135441,539772.368849,735878.050684
6155,356224556.59931,416036928.85961,432218.490844,740407.413601
6159,52025809.7067,65192372.05113,359087.278451,727346.935967
6161,20540018.58,21149896.5505,80748.8039719,196654.816301
