"BasinID","Volume_2000","Volume_2020","Popu_2000","Popu_2020"
1173,1673130898.0442,2005313831.9982,17114138.7803,32074933.6449
1179,907502677.1,1075257023.01,5283259.82033,9858766.02699
1222,8404249689016.03,8398506796999.73,10938586.0332,19204756.8323
1223,43284207317.8,51682699157.508,5982866.32202,9936813.93835
1230,7590521720.57,7365901903.826,6420796.02067,9529404.9328
1249,231573347.4,232083078.2038,6854052.80995,11456297.6574
1255,7185310373.567,7526051312.87912,14996440.0933,17004403.4103
1279,6846166110.85,7401527880.434,9348198.21536,13264865.539
1321,4829049219.4917,4150990350.24297,9732665.41254,11922580.9267
1322,42287576665.467,42484484627.9716,16120234.1577,36092806.3621
1327,255879136.762,311948732.4329,13624941.5692,31813691.8633
1326,3201283.257,4579454.45,5456246.15616,10977904.6637
1329,203767076321.882,216504230693.992,5386855.5183,24354331.1306
1328,18945512783524,18965593161053,10070357.1991,19850928.1977
1422,9322632227.479,8554045182.873,18953064.3279,34602157.1557
1427,9892425557.76856,11615683592.1249,6187508.44984,12529329.5393
1444,202664644.73,754406168.66,6670527.99329,12986807.9797
1451,7112330785.69,7470525639.4792,11835784.6681,21345941.29
1459,3740161059.35,3625377760.704,5499756.37362,9742323.67264
1517,175062808.1,1227866878.1,6387477.21584,8587190.92459
1530,1934376505.82,1880073523.485,34687073.3787,47276418.7095
1710,945013371.5,915503907.146,6753219.77242,9691947.08085
1721,101546078840.5,132077578081.13,36550187.0909,55492266.7534
1722,1105053365.71,1119360085.676,8239845.98856,13045037.6723
1724,61870079894.6,68535361697.94,20316808.7009,32174302.6824
1725,8292916580.23,14230319763.613,7319292.35342,11702582.6349
1729,2651986210701.9,2746520698045.1,54475105.6314,98987731.0541
1730,837082213.8,904356341.8,21943595.4383,31102656.4313
1819,5430209553.7413,5814593552.9839,7757711.07939,13767977.3651
1624,73172640255,73165255070.8,18215780.5595,35462560.2506
1154,1.71e+11,193555061437,8161593.6764,14884154.0854
1157,6938374961.64,7544707320.295,9245564.99541,15130840.3594
1156,35562650085.4,43777750371.5582,7764302.26641,13822789.1698
4224,20534871830.73,24529863660.7735,53762081.3289,59358432.0697
4230,807688532.7,820069609.845,5337175.95033,5311764.80512
4241,1059725080.66,993933004.44,32999572.598,36709382.5675
4242,880914261.27,1169406834.162,15538617.5992,16957614.2097
4243,746647171.36,650261487.903,15469382.6279,16401721.24
4244,4569117932.17,1154342740.07,5944352.65301,6381795.96251
4245,370541189.12,364411020.05,8442101.59057,10308942.9749
4246,1503357012.9,1262690488.24,14852038.59,16780492.7559
4248,1324411104.805,1720710713.264,18720845.1183,19131593.9014
4313,85756600.89,67859110.07,5536599.57494,7312763.18182
4316,3182653638.78645,6048984338.88045,92800240.8942,122687740.48
4317,1504330971.8,1759628945.288,9437811.62296,11237753.8876
4321,1066849013.37,1194030983.38,33899453.83,38817958.5608
4322,96018555.16,95984729.51925,31364897.0071,34212517.4862
4324,59859269.48,141850045.75,12429406.8906,15964155.2973
4327,2486189793.68,3417618924.06,21288519.2197,27995955.9623
4330,14432890218.18,15083201412.946,96945112.3834,102398430.762
4343,38689259342.747,30559160903.619,34424931.457,40293538.6063
4342,62337726933.406,47348880851.8888,97297082.5554,96818307.0907
4345,16081783638.414,15040091893.2587,15987127.5868,16224650.8693
4344,78531557935.908,77754969882.886,37167392.7734,45775100.479
4347,12580989835.65,8681686009.718,9316592.52172,8950731.07795
4346,8380609866.77,15509850872.6063,39637431.1079,39642526.2473
4349,23406488746.26,28661631580.063,161524284.314,158953556.684
4348,31360002971.19,32132211305.487,72336558.7703,76122802.2403
4350,64745288981.65,62148986042.512,94345776.4869,136808569.801
4361,159777376.76,163375111.3951,17542687.5448,23655768.3874
4363,2428775011.94,2173472494.0874,26300325.8412,37748233.9718
4364,3849862057.13,5710399680.98,13594926.902,22412162.7198
4365,162336606.2,155605491.987,15081264.3327,24731004.2385
4366,5688357574.326,6238748106.3985,71183205.7746,80435064.6808
4367,2563404817.31,2550254847.183,35149752.0733,42821513.3733
4368,1716506453,1828430574,17261797.9196,18842772.7511
4369,35992289.65,40222272.04,6418922.01807,8205020.3606
4410,5103076135.042,5379983301.996,38647357.3691,52343843.3732
4421,1260820589.562,980913685.453,6646913.21358,8832521.27495
4422,54050449281.1,51567922392.322,5359229.65142,10335519.963
4427,6611891734.56,6717030193.462,7882384.93056,8559692.954
4426,7352495593.58,7280980192.491,15665864.4165,13331345.648
4429,2799063430,3147583220.5,8907972.08455,10270699.4969
4430,7238066692.35,6737899337.199,33938784.9222,50160824.6539
4440,35369570840.82,37957567055.723,32372291.3623,45139453.4879
4457,93581460.65,96114202.428,9988897.67206,11460012.8369
4458,3071869993.655,3208613551.09448,28116134.1349,25896541.8781
4510,4477695417,5213300860.1,19697384.154,24787092.4763
4522,1968894617.5572,5911673900.8243,52152035.7495,80115483.5806
4525,205813367.976,954592567.286,55486023.7519,73502819.4143
4524,18892127411.3737,20160876574.5555,389541205.26,584377936.374
4531,6885089516.86,7363678590.185,122766711.215,156396580.14
4532,9715260998.82,11463443847.69,27527607.5659,38815636.9256
4533,20287081275.405,21037678115.5698,19990258.5689,24337964.8083
4535,3027059150.8,7964383600.28,6595795.18359,7338812.92993
4537,7874872517.81,7895076864.6117,48937920.5611,67546657.2132
4538,2198300509.1,3702300663.939,30919118.4017,42003071.7306
4539,1278915414.22,2590463691.468,18520391.6724,23386310.5322
4556,48962174.73,62720574.95,5446477.69064,7586410.08078
4558,6305695702.012,5842729588.0056,56466243.5241,82572496.5295
4563,33936251.25,197879366.65,6014236.44267,9633008.15292
4562,1751525489.25,1762447210.044,6826461.98179,10099091.905
4565,1108907417.5172,1150257664.4572,16833442.4297,28585683.2195
4564,17551798476.8398,23274785975.3743,95416072.795,147865242.673
4566,214322773.24,255095153.845,17305614.4349,28845365.3532
4567,3668172013.1,6198146948.5,5123187.45371,8686137.26255
4570,482788898.2,510274653.16,11073197.3704,17481651.7874
4120,6883790580.11,7361434292.203,5694653.15708,5214611.55171
4130,19701643330.86,20203757292.2124,118103600.54,119790478.677
4370,1079956956.21,1150157838.374,21939913.7589,23766531.9645
4390,944815253.35,1180042525.41,7389611.15108,9785912.76375
4580,14018365523.0772,13732836254.2662,18107760.4864,20854998.8173
4617,956845502.6826,1038517085.8256,9148412.14713,13194700.3961
4621,26364272494.931,26245315380.6993,19340589.2226,26198663.1416
5111,20561392932.5,21083791465.921,18677285.3968,23405898.0328
5118,1328467914.57,1398757452.626,5566900.78132,6613541.22471
5119,220754617.45,263577034.274,7027199.85626,9253022.31226
5150,818305591.59,969591883.01,122793413.3,159000822.775
5160,65997616.5,67274455.441,5917943.52538,8440814.92075
5240,26609603314.85,27245596612.668,76640293.4341,103927874.64
5250,15853260164,20217096928.25,13794141.4135,21153671.0516
5639,20523366980.18,19645667814.365,10327608.4068,10329704.5519
2110,25422170873.1072,23580359389.0681,47145595.103,66167617.3927
2212,1235336899.1026,1055414660.29881,6506040.22364,8767451.89913
2220,22703564086.64,19470460240.748,6298434.32142,6620739.43174
2234,1693480720.06,1716214569.532,8142736.7933,7225275.69411
2240,61683406780,62436469598.151,7151103.41781,6379124.73674
2251,93937027925.05,89203173819.991,14369627.9514,12843898.7126
2260,16501942507.14,15924461080.8881,13598546.4214,12266679.3309
2273,2325635087.5118,2358969110.7712,18736506.6478,32382230.3122
2274,164455687.8,195238484.452,9050790.50767,8446348.5147
2276,902823311.69,929336347.731,13260972.0517,11924094.2902
2279,12919544376.08,14046074219.26,28262119.1574,28484566.6921
2130,22965382402.751,23760833274.1271,30030493.9335,32073279.797
2140,14070612930.8112,15010075007.3057,30585698.5601,34414258.9461
2150,3430078478.92,3540909397.051,18313509.0329,19685276.6093
2160,19306875947.9781,20176021506.3236,30775412.8158,40664550.3247
2316,2696887681.105,1891025852.91078,7230333.79202,9877709.77451
2319,406788655.74,393723005.5747,7772611.5691,8254152.91558
